ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Theta_0,DS2-Theta_0,DS3-Theta_0,DS4-Theta_0,DS5-Theta_0
LF.RES1-Cost,0,1 EA,loss_ratio,0.020,0.100,0.447,1.000,1.000
LF.RES1-Time,0,1 EA,day,2,30,90,180,180
LF.RES2-Cost,0,1 EA,loss_ratio,0.020,0.100,0.375,1.000,1.000
LF.RES2-Time,0,1 EA,day,2,10,30,60,60
LF.RES3-Cost,0,1 EA,loss_ratio,0.020,0.100,0.413,1.000,1.000
LF.RES3-Time,0,1 EA,day,5,30,120,240,240
LF.RES4-Cost,0,1 EA,loss_ratio,0.020,0.100,0.414,1.000,1.000
LF.RES4-Time,0,1 EA,day,5,30,120,240,240
LF.RES5-Cost,0,1 EA,loss_ratio,0.020,0.100,0.418,1.000,1.000
LF.RES5-Time,0,1 EA,day,5,30,120,240,240
LF.RES6-Cost,0,1 EA,loss_ratio,0.020,0.100,0.418,1.000,1.000
LF.RES6-Time,0,1 EA,day,5,30,120,240,240
LF.COM1-Cost,0,1 EA,loss_ratio,0.020,0.100,0.414,1.000,1.000
LF.COM1-Time,0,1 EA,day,5,30,90,180,180
LF.COM2-Cost,0,1 EA,loss_ratio,0.020,0.100,0.418,1.000,1.000
LF.COM2-Time,0,1 EA,day,5,30,90,180,180
LF.COM3-Cost,0,1 EA,loss_ratio,0.020,0.100,0.400,1.000,1.000
LF.COM3-Time,0,1 EA,day,5,30,90,180,180
LF.COM4-Cost,0,1 EA,loss_ratio,0.020,0.100,0.404,1.000,1.000
LF.COM4-Time,0,1 EA,day,5,30,120,240,240
LF.COM5-Cost,0,1 EA,loss_ratio,0.020,0.100,0.396,1.000,1.000
LF.COM5-Time,0,1 EA,day,5,30,90,180,180
LF.COM6-Cost,0,1 EA,loss_ratio,0.020,0.100,0.398,1.000,1.000
LF.COM6-Time,0,1 EA,day,10,45,180,360,360
LF.COM7-Cost,0,1 EA,loss_ratio,0.020,0.100,0.397,1.000,1.000
LF.COM7-Time,0,1 EA,day,10,45,180,240,240
LF.COM8-Cost,0,1 EA,loss_ratio,0.020,0.100,0.391,1.000,1.000
LF.COM8-Time,0,1 EA,day,5,30,90,180,180
LF.COM9-Cost,0,1 EA,loss_ratio,0.020,0.100,0.395,1.000,1.000
LF.COM9-Time,0,1 EA,day,5,30,120,240,240
LF.COM10-Cost,0,1 EA,loss_ratio,0.020,0.100,0.456,1.000,1.000
LF.COM10-Time,0,1 EA,day,2,20,80,160,160
LF.IND1-Cost,0,1 EA,loss_ratio,0.020,0.100,0.355,1.000,1.000
LF.IND1-Time,0,1 EA,day,10,30,120,240,240
LF.IND2-Cost,0,1 EA,loss_ratio,0.020,0.100,0.355,1.000,1.000
LF.IND2-Time,0,1 EA,day,10,30,120,240,240
LF.IND3-Cost,0,1 EA,loss_ratio,0.020,0.100,0.355,1.000,1.000
LF.IND3-Time,0,1 EA,day,10,30,120,240,240
LF.IND4-Cost,0,1 EA,loss_ratio,0.020,0.100,0.355,1.000,1.000
LF.IND4-Time,0,1 EA,day,10,30,120,240,240
LF.IND5-Cost,0,1 EA,loss_ratio,0.020,0.100,0.355,1.000,1.000
LF.IND5-Time,0,1 EA,day,20,45,180,360,360
LF.IND6-Cost,0,1 EA,loss_ratio,0.020,0.100,0.355,1.000,1.000
LF.IND6-Time,0,1 EA,day,5,20,80,160,160
LF.AGR1-Cost,0,1 EA,loss_ratio,0.016,0.100,0.407,1.000,1.000
LF.AGR1-Time,0,1 EA,day,2,10,30,60,60
LF.REL1-Cost,0,1 EA,loss_ratio,0.020,0.100,0.405,1.000,1.000
LF.REL1-Time,0,1 EA,day,10,30,120,240,240
LF.GOV1-Cost,0,1 EA,loss_ratio,0.020,0.100,0.402,1.000,1.000
LF.GOV1-Time,0,1 EA,day,10,30,120,240,240
LF.GOV2-Cost,0,1 EA,loss_ratio,0.020,0.100,0.399,1.000,1.000
LF.GOV2-Time,0,1 EA,day,5,20,90,180,180
LF.EDU1-Cost,0,1 EA,loss_ratio,0.020,0.100,0.435,1.000,1.000
LF.EDU1-Time,0,1 EA,day,10,30,120,240,240
LF.EDU2-Cost,0,1 EA,loss_ratio,0.020,0.100,0.442,1.000,1.000
LF.EDU2-Time,0,1 EA,day,10,45,180,360,360